filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
shuup/shuup/_misc/doccov.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",418,14,[418],https://bandit.readthedocs.io/en/1.7.4/plugins/b701_jinja2_autoescape_false.html
shuup/shuup/_misc/language_twister.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,36,36,[36],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b307-eval
shuup/shuup/branding/generate_variants.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,60,12,[60],https://bandit.readthedocs.io/en/1.7.4/plugins/b603_subprocess_without_shell_equals_true.html
shuup/shuup/branding/generate_variants.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,75,12,[75],https://bandit.readthedocs.io/en/1.7.4/plugins/b603_subprocess_without_shell_equals_true.html
shuup/shuup/generate_apidoc.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,32,14,"[32, 33]",https://bandit.readthedocs.io/en/1.7.4/plugins/b603_subprocess_without_shell_equals_true.html
shuup/shuup/shuup/addons/admin_module/views/upload.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",119,12,[119],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html
shuup/shuup/shuup/addons/installer.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",41,15,"[37, 38, 39, 40, 41]",https://bandit.readthedocs.io/en/1.7.4/plugins/b602_subprocess_popen_with_shell_equals_true.html
shuup/shuup/shuup/admin/base.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",174,15,[174],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/admin/base.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",291,18,[291],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/admin/forms/_auth.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'shuup_admin:recover_password',87,45,"[87, 88]",https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
shuup/shuup/shuup/admin/forms/widgets.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,73,15,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/forms/widgets.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,73,15,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/forms/widgets.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,101,15,"[101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/forms/widgets.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,101,15,"[101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/forms/widgets.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,180,15,"[180, 181, 182]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/forms/widgets.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,180,15,"[180, 181, 182]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/forms/widgets.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,192,15,"[192, 193, 194]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/forms/widgets.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,192,15,"[192, 193, 194]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/modules/support/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",29,12,[29],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html
shuup/shuup/shuup/admin/modules/users/views/detail.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,317,40,[317],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/admin/templatetags/shuup_admin.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,20,15,[20],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/templatetags/shuup_admin.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,20,15,[20],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/templatetags/shuup_admin.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,23,15,[23],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/templatetags/shuup_admin.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,23,15,[23],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/toolbar.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,223,31,[223],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/toolbar.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,223,31,[223],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/admin/toolbar.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,327,28,[327],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/admin/toolbar.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,327,28,[327],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/campaigns/models/campaigns.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",192,36,[192],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/campaigns/models/campaigns.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,464,23,[464],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/campaigns/models/matching.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",21,49,[21],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/core/basket/objects.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",148,15,[148],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/core/cache/impl.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,81,46,[81],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/core/migrations/0020_md_to_html.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",14,8,[14],https://bandit.readthedocs.io/en/1.7.4/plugins/b112_try_except_continue.html
shuup/shuup/shuup/core/models/_attributes.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",443,8,[443],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html
shuup/shuup/shuup/core/models/_product_variation.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",132,25,[132],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/core/templatetags/shuup_common.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,138,11,[138],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/core/templatetags/shuup_common.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,138,11,[138],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/core/templatetags/shuup_common.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,147,11,[147],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/core/templatetags/shuup_common.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,147,11,[147],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/core/templatetags/shuup_common.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,164,11,[164],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/core/templatetags/shuup_common.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,164,11,[164],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/core/utils/context_cache.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",221,15,[221],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/core/utils/context_cache.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",294,15,[294],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/core/utils/forms.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'shuup:recover_password_confirm',101,45,"[101, 102]",https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
shuup/shuup/shuup/core/utils/query.py,django_extra_used,B610,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/89.html,Use of extra potential SQL attack vector.,34,8,[34],https://bandit.readthedocs.io/en/1.7.4/plugins/b610_django_extra_used.html
shuup/shuup/shuup/front/apps/simple_search/template_helpers.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,29,15,[29],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/apps/simple_search/template_helpers.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,29,15,[29],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/checkout/methods.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,41,15,"[41, 42, 43, 44, 45, 46, 47, 48, 49]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/checkout/methods.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,41,15,"[41, 42, 43, 44, 45, 46, 47, 48, 49]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
